epoch_idx	precision@20	recall@20	ndcg@20
1.0	0.013695088827139788	0.1286974385189852	0.06763937409250755
2.0	0.01393662103723582	0.13115861436445647	0.06980231876017495
3.0	0.014049949934967713	0.13262557944213915	0.07073887694177639
4.0	0.014110155911025275	0.13326207803854065	0.07137035489769356
5.0	0.014091739965269837	0.13336864980466326	0.07124807656282948
6.0	0.014088906742914934	0.13358634638947126	0.07180403049936665
7.0	0.014236234307797432	0.13490976602988405	0.0726167225135655
8.0	0.014387103401850527	0.13602419055959827	0.07309180659385206
9.0	0.01430706486867537	0.1355432126383081	0.07280578528162057
10.0	0.014475641602670893	0.13729628818849243	0.07356093043025233
11.0	0.014510348577587102	0.13737964448090206	0.07388388232650861
12.0	0.01458897050029724	0.13817664256639642	0.07416482549543621
13.0	0.01451459841199021	0.1377569093050351	0.07363625170092765
14.0	0.014619427639913205	0.13849217670962896	0.07409173729986097
15.0	0.014556388441289649	0.1383978153922396	0.0744405010314999
16.0	0.014614469500066498	0.13863255187877424	0.0742631186256093
17.0	0.014523806384023561	0.13801740818682365	0.07420958055755722
18.0	0.014605969833793383	0.13861650393195615	0.07408849517311
19.0	0.014640676807601363	0.1390774590430891	0.07432277730943405
20.0	0.014705132617798166	0.13943889341691804	0.07442444605416831
21.0	0.014540805717941887	0.13826108924676697	0.07346151285824191
22.0	0.01463571866801852	0.13915495203964856	0.07435698038754052
23.0	0.014574096080809893	0.13866736138726807	0.07410746168771573
24.0	0.01461517780661833	0.1385843141366241	0.07379510717394959
25.0	0.014765338594647322	0.14015802000277489	0.0741426233823336
26.0	0.0147100907575921	0.13981633170528324	0.07406394322374457
27.0	0.01474267281564978	0.13979441349793412	0.07404901776753033
28.0	0.014785171151237187	0.14025706386053416	0.0749903068944241
29.0	0.014552138608628046	0.13825172981938447	0.07350433031183982
30.0	0.014635010363841468	0.13864674133660415	0.07364250413407583
31.0	0.014718590425976131	0.13924829860976043	0.07408149696805681
32.0	0.014669717338493813	0.13921182694368509	0.07398222107882241
33.0	0.014668300728239887	0.13901571132023288	0.07404992340688822
34.0	0.014868042906820018	0.14105943883775612	0.07495986357087966
35.0	0.014658384448071517	0.138982743945284	0.07379045600210357
36.0	0.014753297399520245	0.1400076384832973	0.07450879192379437
37.0	0.01478871268051333	0.14053729950725163	0.074820544070353
38.0	0.01469592464587036	0.1397956580620522	0.07406002521156939
39.0	0.014672550559951578	0.13924118129738788	0.07411923739899276
40.0	0.014829086099822709	0.14049431968865222	0.07469983338011216
41.0	0.014830502709179495	0.14088696696946598	0.07497335251351701
42.0	0.014751172482820036	0.1399274529205606	0.07419959198479267
43.0	0.01486025154519891	0.1410156421415889	0.074444645562118
44.0	0.014905583105093816	0.14169407182387514	0.07488231094352064
45.0	0.014758963844863325	0.1397569935545818	0.07436250650552971
46.0	0.014716465506848367	0.13998993034292948	0.0744064421979222
47.0	0.014803587098048082	0.1406589875471464	0.07484208655839097
48.0	0.014755422316378776	0.14032988788745424	0.07450946055004204
49.0	0.014792254207467468	0.14066993423349614	0.07443303778141337
50.0	0.014583304054057021	0.13860665976928785	0.07373716675155977
51.0	0.014877959186407887	0.14126874837471634	0.07457572308089998
52.0	0.014743381121673883	0.1405572707532663	0.07435265406862328
53.0	0.014747630954704894	0.14033337172338076	0.07444078683138818
54.0	0.014696632950469593	0.14017293969538946	0.07419450058988863
